#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                              b1|  1.66e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.56089404|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.53677445|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.60225226|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.72145178|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.44695602|  PASSED  
        diehard_opso|   0|   2097152|     100|0.40491501|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.70338421|  PASSED  
         diehard_dna|   0|   2097152|     100|0.17464056|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.58606049|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.63653237|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.17940638|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.99047677|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.64665447|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.61974580|  PASSED  
        diehard_sums|   0|       100|     100|0.00937316|  PASSED  
        diehard_runs|   0|    100000|     100|0.58628580|  PASSED  
        diehard_runs|   0|    100000|     100|0.84439183|  PASSED  
       diehard_craps|   0|    200000|     100|0.02037895|  PASSED  
       diehard_craps|   0|    200000|     100|0.81348237|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00012971|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.07115610|  PASSED  
         sts_monobit|   1|    100000|     100|0.91897470|  PASSED  
            sts_runs|   2|    100000|     100|0.28489657|  PASSED  
          sts_serial|   1|    100000|     100|0.58161625|  PASSED  
          sts_serial|   2|    100000|     100|0.15308007|  PASSED  
          sts_serial|   3|    100000|     100|0.44625799|  PASSED  
          sts_serial|   3|    100000|     100|0.32610010|  PASSED  
          sts_serial|   4|    100000|     100|0.77888316|  PASSED  
          sts_serial|   4|    100000|     100|0.88147332|  PASSED  
          sts_serial|   5|    100000|     100|0.63434662|  PASSED  
          sts_serial|   5|    100000|     100|0.66230511|  PASSED  
          sts_serial|   6|    100000|     100|0.88885095|  PASSED  
          sts_serial|   6|    100000|     100|0.64759750|  PASSED  
          sts_serial|   7|    100000|     100|0.80006350|  PASSED  
          sts_serial|   7|    100000|     100|0.80430586|  PASSED  
          sts_serial|   8|    100000|     100|0.08782107|  PASSED  
          sts_serial|   8|    100000|     100|0.54018852|  PASSED  
          sts_serial|   9|    100000|     100|0.93061508|  PASSED  
          sts_serial|   9|    100000|     100|0.98440779|  PASSED  
          sts_serial|  10|    100000|     100|0.31016084|  PASSED  
          sts_serial|  10|    100000|     100|0.69324640|  PASSED  
          sts_serial|  11|    100000|     100|0.69366534|  PASSED  
          sts_serial|  11|    100000|     100|0.90478289|  PASSED  
          sts_serial|  12|    100000|     100|0.90503510|  PASSED  
          sts_serial|  12|    100000|     100|0.99157255|  PASSED  
          sts_serial|  13|    100000|     100|0.27999273|  PASSED  
          sts_serial|  13|    100000|     100|0.57437986|  PASSED  
          sts_serial|  14|    100000|     100|0.25646472|  PASSED  
          sts_serial|  14|    100000|     100|0.14216959|  PASSED  
          sts_serial|  15|    100000|     100|0.15898620|  PASSED  
          sts_serial|  15|    100000|     100|0.95600658|  PASSED  
          sts_serial|  16|    100000|     100|0.85806104|  PASSED  
          sts_serial|  16|    100000|     100|0.69327197|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.51500101|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.96765718|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.93830105|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.88979408|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.69730271|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.87073011|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.40279126|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.59673463|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.19504658|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.54442526|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.25821147|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.48332613|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.57758733|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.59212765|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.07224547|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.36265086|  PASSED  
    rgb_permutations|   2|    100000|     100|0.38207333|  PASSED  
    rgb_permutations|   3|    100000|     100|0.00999176|  PASSED  
    rgb_permutations|   4|    100000|     100|0.30026466|  PASSED  
    rgb_permutations|   5|    100000|     100|0.73912699|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.37400843|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.55383406|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.78894793|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.12637664|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.14577953|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.72797012|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.23942455|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.22114648|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.22930495|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.43703767|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.80566595|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.53820060|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.47642463|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.26055802|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.15413205|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.20679322|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.99104768|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.31119228|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.13585273|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.06537108|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.20175468|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.98978693|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.98116591|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.85251390|  PASSED  
