#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                          testb3|  8.58e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.21251499|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.45083285|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.42744443|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.78511283|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99961634|   WEAK   
        diehard_opso|   0|   2097152|     100|0.76323279|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.93017498|  PASSED  
         diehard_dna|   0|   2097152|     100|0.26690982|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.15714450|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.53096515|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.08570837|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.21467513|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.73682459|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.91938334|  PASSED  
        diehard_sums|   0|       100|     100|0.00114995|   WEAK   
        diehard_runs|   0|    100000|     100|0.99268239|  PASSED  
        diehard_runs|   0|    100000|     100|0.99440735|  PASSED  
       diehard_craps|   0|    200000|     100|0.73791804|  PASSED  
       diehard_craps|   0|    200000|     100|0.74452886|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.10441018|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.71888695|  PASSED  
         sts_monobit|   1|    100000|     100|0.91564915|  PASSED  
            sts_runs|   2|    100000|     100|0.98175195|  PASSED  
          sts_serial|   1|    100000|     100|0.47297082|  PASSED  
          sts_serial|   2|    100000|     100|0.38766796|  PASSED  
          sts_serial|   3|    100000|     100|0.09466812|  PASSED  
          sts_serial|   3|    100000|     100|0.16309571|  PASSED  
          sts_serial|   4|    100000|     100|0.20565255|  PASSED  
          sts_serial|   4|    100000|     100|0.50978218|  PASSED  
          sts_serial|   5|    100000|     100|0.01662773|  PASSED  
          sts_serial|   5|    100000|     100|0.58138618|  PASSED  
          sts_serial|   6|    100000|     100|0.69332216|  PASSED  
          sts_serial|   6|    100000|     100|0.93892602|  PASSED  
          sts_serial|   7|    100000|     100|0.56325749|  PASSED  
          sts_serial|   7|    100000|     100|0.55406368|  PASSED  
          sts_serial|   8|    100000|     100|0.63316882|  PASSED  
          sts_serial|   8|    100000|     100|0.62283215|  PASSED  
          sts_serial|   9|    100000|     100|0.92191880|  PASSED  
          sts_serial|   9|    100000|     100|0.63004572|  PASSED  
          sts_serial|  10|    100000|     100|0.81388385|  PASSED  
          sts_serial|  10|    100000|     100|0.71792417|  PASSED  
